sample,ZP3_log2_TPM
GTEX-ZVT3-0011-R10b-SM-57WB6,1.3109
GTEX-QDT8-0011-R6A-SM-32PKI,1.4911
GTEX-11PRG-2826-SM-5BC54,1.1897
GTEX-ZE7O-0011-R6a-SM-57WCI,1.4911
GTEX-12WSM-0011-R8a-SM-5DUWJ,0.7579
GTEX-13PDP-0011-R8b-SM-5O9CS,0.3907
GTEX-13NYB-0011-R8a-SM-5KM4R,0.9862
GTEX-P44H-0011-R5A-SM-2XCEX,2.6918
GTEX-13SLW-0011-R10a-SM-5S2UI,0.044
GTEX-Q2AG-0011-R9A-SM-2HMJ6,-0.0277
GTEX-14BIM-0011-R6b-SM-5S2VB,2.299
GTEX-144FL-3026-SM-5O99C,0.7233
GTEX-13FLV-0011-R8a-SM-5LZZE,0.4657
GTEX-13CF2-0011-R8b-SM-5IJCX,2.7007
GTEX-131YS-3126-SM-5KLYT,0.2762
GTEX-13OW7-3026-SM-5L3GY,0.9038
GTEX-13SLX-0011-R8b-SM-5PNWZ,0.8327
GTEX-139T8-0011-R4a-SM-5HL54,1.7828
GTEX-145LU-0011-R3a-SM-5P9K2,1.0503
GTEX-WHSE-0011-R2A-SM-3P5ZL,0.6239
GTEX-13FXS-0011-R5b-SM-5LZYE,1.8918
GTEX-13N2G-0011-R9b-SM-5MR4E,1.4652
GTEX-13O3O-3126-SM-5KM3H,0.5568
GTEX-13NZA-0011-R11b-SM-5KM4W,2.824
GTEX-13FLV-0011-R11a-SM-5LZZ7,2.0535
GTEX-13OW8-0011-R3a-SM-5L3I4,0.7664
GTEX-S7SE-0011-R5A-SM-2XCDA,2.2175
GTEX-13X6I-0011-R5a-SM-5PNWW,2.3536
GTEX-NPJ7-0011-R8a-SM-2I3G2,0.9862
GTEX-X4XX-0011-R8B-SM-46MWM,1.2023
GTEX-WVLH-0011-R5A-SM-3MJFW,2.1345
GTEX-13FLW-0011-R5a-SM-5LZX6,2.59
GTEX-R55E-2526-SM-2TC6H,1.3679
GTEX-11ZTS-3226-SM-5EGID,1.2516
GTEX-13N2G-0011-R4b-SM-5MR54,1.4011
GTEX-YJ89-0011-R7a-SM-4V6GO,0.517
GTEX-UTHO-0011-R3A-SM-3GIK8,-1.4305
GTEX-13O3Q-0011-R6a-SM-5KM2V,2.2573
GTEX-N7MT-0011-R4a-SM-2I3G9,2.3732
GTEX-ZXG5-0011-R7b-SM-57WCC,-0.013
GTEX-ZAB4-0011-R5a-SM-4SOKC,2.4171
GTEX-X4EP-0011-R7B-SM-4PQZW,3.5547
GTEX-139UC-0011-R6b-SM-5K7Z1,1.692
GTEX-12WSC-0011-R9a-SM-5GU4U,0.4967
GTEX-P44G-0011-R5A-SM-2I3FA,1.9111
GTEX-11WQK-0011-R9b-SM-5BC6N,-0.8339
GTEX-X4EP-0011-R2B-SM-3P625,3.5911
GTEX-13NYB-3226-SM-5J2ND,1.196
GTEX-11H98-0011-R8a-SM-5NQ8V,-0.3566
GTEX-N7MS-2526-SM-2D7W3,0.3346
GTEX-13N1W-0011-R11a-SM-5MR3D,0.8805
GTEX-13PLJ-0011-R9b-SM-5O9DV,2.0979
GTEX-13PLJ-0011-R5a-SM-5O9BG,1.4228
GTEX-144GL-2926-SM-5O99F,0.9191
GTEX-XOTO-2926-SM-4B65G,0.3685
GTEX-S7SE-0011-R10A-SM-2XCDF,1.2085
GTEX-139TT-2626-SM-5LZUB,0.7493
GTEX-X4XX-0011-R2A-SM-3P623,0.346
GTEX-OHPN-0011-R9A-SM-4DXUH,1.7744
GTEX-ZVZQ-0011-R11a-SM-51MS6,1.6045
GTEX-13CF2-0011-R7b-SM-5K7UV,2.9281
GTEX-13PL6-0011-R6a-SM-5O9C5,0.1257
GTEX-YFC4-0011-R2a-SM-4V6DZ,-0.6193
GTEX-QVJO-0011-R2A-SM-2S1QK,0.3573
GTEX-131YS-0011-R9b-SM-5EQLY,1.2209
GTEX-145MG-0011-R3b-SM-5SI67,-1.6394
GTEX-OXRO-0011-R2A-SM-3NB1W,1.9638
GTEX-QVUS-2826-SM-3GADB,0.1648
GTEX-11GSP-0011-R5a-SM-57WBE,2.3953
GTEX-ZVT3-0011-R3b-SM-51MTJ,0.5859
GTEX-Z93S-0011-R11a-SM-4RGNN,1.4335
GTEX-11GS4-3126-SM-5A5LH,1.196
GTEX-13FHO-0011-R7b-SM-5LZXD,1.6964
GTEX-13FHO-3026-SM-5J1O9,0.7321
GTEX-P44G-0011-R2A-SM-2XCD2,0.7058
GTEX-13RTL-0011-R1a-SM-5PNZ8,-1.2828
GTEX-12WSF-0011-R11a-SM-5LZVT,1.787
GTEX-13112-0011-R6b-SM-5DUVK,2.3251
GTEX-13OVL-0011-R11b-SM-5L3G7,3.1028
GTEX-ZAJG-3126-SM-5HL9J,0.5069
GTEX-P44G-0011-R1A-SM-2I3FE,-0.394
GTEX-1192X-3126-SM-5N9BY,0.1648
GTEX-13N2G-0011-R1b-SM-5MR3G,0.4233
GTEX-ZV68-0011-R6a-SM-51MSR,0.9642
GTEX-QVUS-0011-R3A-SM-3GAFD,0.0014
GTEX-OHPN-0011-R9A-SM-2YUMN,1.9638
GTEX-13SLW-0011-R1a-SM-5S2W7,-0.1504
GTEX-N7MT-0011-R7a-SM-2I3FZ,3.6359
GTEX-13IVO-0011-R8a-SM-5L3DY,-0.0725
GTEX-Q2AG-0011-R11A-SM-2HMKZ,1.6649
GTEX-144GL-0011-R5b-SM-5PNUJ,0.8883
GTEX-144GL-0011-R3a-SM-5P9HP,0.3346
GTEX-R55E-0011-R9A-SM-2TC6C,1.5316
GTEX-13X6J-0011-R11a-SM-5P9HE,1.736
GTEX-R55F-1226-SM-2TF59,1.7053
GTEX-13CZV-0011-R11b-SM-5N9FN,1.3051
GTEX-144GO-0011-R5a-SM-5PNUR,2.791
GTEX-N7MT-0011-R3a-SM-2I3GC,3.3032
GTEX-132Q8-0011-R10b-SM-5DUWZ,0.8961
GTEX-13PL6-0011-R9b-SM-5O9CH,0.0014
GTEX-QMR6-0011-R11A-SM-32PKK,-0.1504
GTEX-ZDXO-0011-R8a-SM-4WWD7,0.4016
GTEX-11EMC-3226-SM-5EGKW,-0.5543
GTEX-P44G-0011-R3A-SM-2I3FC,0.7916
GTEX-12ZZW-0011-R10b-SM-5HL9X,-0.8599
GTEX-12WSE-0011-R6b-SM-5LZV5,1.4388
GTEX-13FHP-0011-R1b-SM-5K7XL,0.2029
GTEX-XMD1-0011-R10A-SM-4AT4A,1.0847
GTEX-12WSD-0011-R3b-SM-5LZWN,-1.2142
GTEX-WZTO-0011-R8A-SM-4E3II,2.7889
GTEX-13FXS-0011-R9a-SM-5K7UI,1.1641
GTEX-13O3Q-0011-R10b-SM-5KM39,-0.0574
GTEX-131YS-0011-R4a-SM-5DUVL,0.1257
GTEX-13N2G-0011-R10a-SM-5MR34,0.2154
GTEX-13OW8-0011-R6b-SM-5L3I3,1.7786
GTEX-13FLV-0011-R4a-SM-5LZYU,-0.1828
GTEX-ZVZQ-0011-R10b-SM-51MRT,0.5666
GTEX-131XH-0011-R1a-SM-5DUWA,2.2931
GTEX-P44H-0011-R10A-SM-2XCEK,1.692
