sample,ZP3_log2_TPM
GTEX-PX3G-0726-SM-48TZT,0.434
GTEX-YB5E-1026-SM-5IFI2,-0.0425
GTEX-ZVZP-2426-SM-59HKJ,3.2112
GTEX-ZYFC-2626-SM-5NQ6S,2.6828
GTEX-117YW-0526-SM-5H11C,-0.6643
GTEX-WHSE-0011-R8A-SM-3P5Z1,0.537
GTEX-U4B1-1826-SM-4DXSU,3.1876
GTEX-ZVZO-0126-SM-5A5L9,3.47
GTEX-13FTY-2126-SM-5IFFB,4.5274
GTEX-11ZUS-2726-SM-5FQUA,3.2692
GTEX-T5JC-0626-SM-3NMA6,-9.9658
GTEX-T6MN-0011-R4A-SM-32QPG,0.9716
GTEX-ZTTD-1426-SM-4YCEX,3.9561
GTEX-132AR-0006-SM-5NQ7N,1.6374
GTEX-139TU-0526-SM-5J2M8,-2.5479
GTEX-T6MO-0426-SM-32QOI,1.614
GTEX-QLQ7-1326-SM-4R1JY,0.6608
GTEX-13OVK-0006-SM-5O9B7,-2.5479
GTEX-WFG8-1026-SM-4LVMZ,0.1388
GTEX-11NUK-2026-SM-5PNVZ,1.1706
GTEX-PWN1-0226-SM-5SI7O,1.6512
GTEX-ZT9W-1626-SM-4YCDQ,1.6875
GTEX-WK11-0626-SM-3NMAV,3.208
GTEX-R55G-0726-SM-2TC6J,2.3564
GTEX-11EQ9-1226-SM-5987E,0.0718
GTEX-13NYB-0226-SM-5N9G4,-1.3183
GTEX-RWS6-0926-SM-47JXE,-0.9406
GTEX-13111-0326-SM-5DUXF,2.876
GTEX-139YR-2726-SM-5K7VV,-0.4131
GTEX-OXRP-0126-SM-3NB32,2.233
GTEX-O5YT-1826-SM-32PK9,-2.4659
GTEX-W5X1-1426-SM-3GIKH,2.8661
GTEX-13X6H-1626-SM-5Q5CT,-1.8836
GTEX-146FR-0926-SM-5QGPE,-0.8863
GTEX-X4LF-0006-SM-3NMCO,1.5998
GTEX-YFC4-0008-SM-4RGM3,-1.1172
GTEX-1399U-0426-SM-5K7UU,1.0711
GTEX-13FH7-1126-SM-5K7UG,1.5216
GTEX-XGQ4-0004-SM-4AT5S,-0.4521
GTEX-131XF-0426-SM-5HL7U,2.328
GTEX-14BIM-2226-SM-5SI8Y,2.8178
GTEX-147GR-0526-SM-5S2MY,2.4439
GTEX-Y8LW-1826-SM-5S2MV,3.0961
GTEX-OXRL-0005-SM-3LK6A,-0.8084
GTEX-13OVL-1526-SM-5K7WA,3.7909
GTEX-11P82-0126-SM-5HL72,-1.1811
GTEX-WRHU-0626-SM-3MJFI,2.128
GTEX-ZLFU-0726-SM-57WF6,0.8488
GTEX-11TUW-1226-SM-5GU7C,-1.5951
GTEX-X4EP-0726-SM-3P5YJ,3.6266
GTEX-S33H-1126-SM-2XCB6,0.7233
GTEX-O5YU-0008-SM-4E3I7,0.6699
GTEX-ZDXO-0011-R1a-SM-4WKF4,1.787
GTEX-ZDYS-2326-SM-4WKG6,1.4335
GTEX-145LU-2026-SM-5Q5E8,-0.4521
GTEX-146FR-1426-SM-5SIAV,0.9568
GTEX-132NY-1026-SM-5P9IY,1.3511
GTEX-13N1W-0826-SM-5MR5J,-0.5125
GTEX-ZTX8-0426-SM-59HLG,0.3796
GTEX-146FH-2026-SM-5SI9I,2.0254
GTEX-ZWKS-0326-SM-5NQ7G,3.1669
GTEX-12WSK-2626-SM-5GCOT,1.3846
GTEX-12WSL-1326-SM-5LZVW,-1.4305
GTEX-X8HC-0126-SM-4E3JW,3.2049
GTEX-11I78-1526-SM-5A5K7,2.3337
GTEX-X15G-1426-SM-4PQZK,3.0446
GTEX-11DXY-3226-SM-5GIDE,-0.1345
GTEX-ZDTS-0226-SM-5HL7Q,0.8726
GTEX-12WSM-0726-SM-5GCOW,-1.8314
