Cancer,Transcript,Tx_Label,Feature,Rho,P_value,N,FDR
BLCA,ENST00000467555.1,Short isoform,Treg,0.1354,0.006239652451476363,407,0.006239652451476363
BLCA,ENST00000467555.1,Short isoform,IFN_gamma,0.1455,0.0032509949039280814,407,0.005272249743453793
BLCA,ENST00000467555.1,Short isoform,Checkpoint,0.15,0.002413194443953126,407,0.005272249743453793
BLCA,ENST00000467555.1,Short isoform,Myeloid,0.2078,2.384677383455766e-05,407,0.00016692741684190361
BLCA,ENST00000394857.7,Alt-exon isoform,M2_Macrophage,-0.0476,0.33804857678744604,407,0.7887800125040408
BLCA,ENST00000394857.7,Alt-exon isoform,T_cell_exhaustion,-0.0324,0.5144166131153138,407,0.8109486096268617
BLCA,ENST00000394857.7,Alt-exon isoform,Cytolytic_activity,-0.0276,0.5792490068763297,407,0.8109486096268617
BLCA,ENST00000394857.7,Alt-exon isoform,Treg,-0.0014,0.9781779082790278,407,0.9781779082790278
BLCA,ENST00000394857.7,Alt-exon isoform,IFN_gamma,-0.0509,0.3054074025571848,407,0.7887800125040408
BLCA,ENST00000394857.7,Alt-exon isoform,Checkpoint,-0.0156,0.7533681817543189,407,0.8789295453800386
BLCA,ENST00000394857.7,Alt-exon isoform,Myeloid,-0.0654,0.18764179339284223,407,0.7887800125040408
BLCA,ENST00000416245.5,Mid isoform,M2_Macrophage,-0.2051,3.0630385394933045e-05,407,6.738579660784832e-05
BLCA,ENST00000416245.5,Mid isoform,T_cell_exhaustion,-0.2001,4.7794876162784364e-05,407,6.738579660784832e-05
BLCA,ENST00000416245.5,Mid isoform,Cytolytic_activity,-0.2115,1.690002923861707e-05,407,5.915010233515974e-05
BLCA,ENST00000416245.5,Mid isoform,Treg,-0.1869,0.00014857930401130276,407,0.0001733425213465199
BLCA,ENST00000416245.5,Mid isoform,IFN_gamma,-0.1845,0.00018184576352667226,407,0.00018184576352667223
BLCA,ENST00000416245.5,Mid isoform,Checkpoint,-0.2,4.81327118627488e-05,407,6.738579660784832e-05
BLCA,ENST00000416245.5,Mid isoform,Myeloid,-0.2293,2.942855952750469e-06,407,2.0599991669253283e-05
BLCA,ENST00000479793.5,Alt-terminal isoform,M2_Macrophage,-0.0218,0.6612832990639329,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,T_cell_exhaustion,-0.017,0.7330458581798335,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,Cytolytic_activity,-0.0067,0.8926460261950689,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,Treg,0.0046,0.9265687634891888,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,IFN_gamma,-0.055,0.26799327595261596,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,Checkpoint,-0.0103,0.8363279229846522,407,0.9265687634891888
BLCA,ENST00000479793.5,Alt-terminal isoform,Myeloid,-0.0067,0.8920686370300746,407,0.9265687634891888
BRCA,ENST00000336517.8,FL canonical (9-exon),M2_Macrophage,0.1223,5.0475838463626925e-05,1092,0.00035333086924538846
BRCA,ENST00000336517.8,FL canonical (9-exon),T_cell_exhaustion,0.0483,0.11049538363760364,1092,0.12891128091053758
BRCA,ENST00000336517.8,FL canonical (9-exon),Cytolytic_activity,0.0016,0.9585186619721333,1092,0.9585186619721332
BRCA,ENST00000336517.8,FL canonical (9-exon),Treg,0.0697,0.02125170275990501,1092,0.03931204872148737
BRCA,ENST00000336517.8,FL canonical (9-exon),IFN_gamma,0.0691,0.02246402784084993,1092,0.03931204872148737
BRCA,ENST00000336517.8,FL canonical (9-exon),Checkpoint,0.0527,0.08163644188768933,1092,0.11429101864276506
BRCA,ENST00000336517.8,FL canonical (9-exon),Myeloid,0.0994,0.0010070497050067384,1092,0.0035246739675235846
BRCA,ENST00000466960.5,Retained-intron,M2_Macrophage,-0.0937,0.001942053579703162,1092,0.013594375057922135
BRCA,ENST00000466960.5,Retained-intron,T_cell_exhaustion,-0.0403,0.18314700181176163,1092,0.2136715021137219
BRCA,ENST00000466960.5,Retained-intron,Cytolytic_activity,-0.0006,0.983261085584176,1092,0.983261085584176
BRCA,ENST00000466960.5,Retained-intron,Treg,-0.0586,0.05291772265795286,1092,0.0926060146514175
BRCA,ENST00000466960.5,Retained-intron,IFN_gamma,-0.0649,0.03201712895705858,1092,0.07470663423313668
BRCA,ENST00000466960.5,Retained-intron,Checkpoint,-0.0406,0.17983532084462645,1092,0.2136715021137219
BRCA,ENST00000466960.5,Retained-intron,Myeloid,-0.0864,0.00429506303532951,1092,0.015032720623653285
BRCA,ENST00000394860.3,5-exon truncated,M2_Macrophage,-0.0222,0.46413632192210963,1092,0.6497908506909534
BRCA,ENST00000394860.3,5-exon truncated,T_cell_exhaustion,-0.0303,0.3170352676692093,1092,0.5998340909236892
BRCA,ENST00000394860.3,5-exon truncated,Cytolytic_activity,-0.0118,0.6975258232118201,1092,0.8137801270804568
BRCA,ENST00000394860.3,5-exon truncated,Treg,-0.0338,0.2640989559461263,1092,0.5998340909236892
BRCA,ENST00000394860.3,5-exon truncated,IFN_gamma,0.0041,0.8914695377801737,1092,0.8914695377801737
BRCA,ENST00000394860.3,5-exon truncated,Checkpoint,-0.0348,0.25056168385554617,1092,0.5998340909236892
BRCA,ENST00000394860.3,5-exon truncated,Myeloid,-0.0287,0.34276233767067954,1092,0.5998340909236892
BRCA,ENST00000467555.1,Short isoform,M2_Macrophage,0.1728,9.075580023837024e-09,1092,3.1764530083429585e-08
BRCA,ENST00000467555.1,Short isoform,T_cell_exhaustion,0.1707,1.3717930858881853e-08,1092,3.200850533739099e-08
BRCA,ENST00000467555.1,Short isoform,Cytolytic_activity,0.1491,7.517495904026774e-07,1092,7.517495904026774e-07
BRCA,ENST00000467555.1,Short isoform,Treg,0.157,1.8586026056276444e-07,1092,2.168369706565585e-07
BRCA,ENST00000467555.1,Short isoform,IFN_gamma,0.1572,1.770410324611422e-07,1092,2.168369706565585e-07
