Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Angiogenesis,-0.4053289,-1.271055,0.1502732,0.1716856,0.968,9/26,25.84%,JAG1;APP;ITGAV;SLCO2A1;LPL;NRP1;CCND2;COL5A2;FSTL1
prerank,MSigDB_Hallmark_2020__Adipogenesis,-0.294134,-1.262531,0.06940063,0.1745518,0.981,45/188,17.98%,PHYH;RNF11;DLAT;SCP2;SDHB;ACADM;UBQLN1;PEX14;CRAT;DBT;SDHC;TANK;DRAM2;MAP4K3;ATL2;GPAM;ITSN1;CDKN2C;CPT2;EPHX2;IMMT;ACLY;CD302;CMPK1;RIOK3;ECH1;RAB34;ACOX1;CS;MTCH2;PTCD3;MDH2;ATP5PO;AK2;ARAF;IDH3A;BCKDHA;YWHAG;NDUFAB1;GPD2;ESYT1;DLD;REEP5;COX8A;LPL
prerank,MSigDB_Hallmark_2020__Hypoxia,0.2261073,1.256315,0.0,0.2422403,0.339,45/179,17.65%,ANGPTL4;CDKN1A;STC2;DUSP1;FOS;DDIT3;ZFP36;DDIT4;CDKN1C;SLC6A6;TPBG;ATF3;DPYSL4;IER3;INHA;TPST2;MAFF;JUN;NDRG1;SLC25A1;SRPX;PGF;NDST2;TIPARP;TGFB3;SCARB1;SELENBP1;PPP1R3C;NOCT;NAGK;RBPJ;FOSL2;P4HA2;CCN1;JMJD6;WSB1;ADORA2B;SLC2A3;CXCR4;KIF5A;PLIN2;ADM;VLDLR;NFIL3;HSPA5
prerank,MSigDB_Hallmark_2020__Spermatogenesis,-0.3211216,-1.255546,0.1206897,0.1741381,0.985,45/85,39.24%,TSN;MTOR;PIAS2;ZC3H14;SPATA6;MLLT10;PRKAR2A;MAST2;AGFG1;STRBP;TOPBP1;DCC;KIF2C;HSPA4L;COIL;TLE4;PHF7;IDE;RAD17;CLPB;DBF4;PSMG1;BUB1;STAM2;MLF1;CSNK2A2;TTK;AURKA;NPHP1;NEK2;IP6K1;CCT6B;PHKG2;RFC4;ACRBP;CCNB2;BRAF;PACRG;SHE;NF2;GSTM3;CHFR;CDK1;GMCL1;PGS1
prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,-0.3122876,-1.235685,0.1324355,0.1964759,0.993,30/110,19.54%,EXOSC5;POP4;KHSRP;IARS1;EXOSC10;MTREX;TUBB2A;LSM4;H2AX;EIF2AK3;SSR1;GEMIN4;YWHAZ;SEC31A;TATDN2;PAIP1;CNOT4;PARN;DCP2;EIF4E;SDAD1;CEBPG;FKBP14;CNOT2;SEC11A;SRPRA;DKC1;EIF2S1;EXOC2;SHC1
prerank,MSigDB_Hallmark_2020__mTORC1 Signaling,-0.2876668,-1.233323,0.08333333,0.1906154,0.993,78/195,32.98%,GPI;TOMM40;RPA1;CYB5B;NFYC;UCHL5;GSK3B;TBK1;PSMC4;CTH;PIK3R3;GTF2H1;PSME3;GMPS;IMMT;PSMD12;ACLY;PSMC2;GGA2;TCEA1;G6PD;SSR1;MCM2;SORD;TUBG1;RIT1;CD9;ACTR3;LDHA;NFKBIB;CANX;CCNF;ABCF2;LTA4H;SEC11A;ACTR2;AK4;UNG;MCM4;IGFBP5;PNO1;TRIB3;SLC2A1;ATP5MC1;POLR3G;ACSL3;ENO1;NIBAN1;PSMG1;BUB1;ATP2A2;BCAT1;RDH11;NMT1;WARS1;GSR;RPN1;USO1;PSPH;GBE1;PRDX1;EPRS1;HPRT1;EIF2S2;AURKA;SLC1A5;RAB1A;PGM1;HSPA4;PLK1;UBE2D3;HSPD1;TXNRD1;STIP1;PPIA;ETF1;IDH1;PLOD2
prerank,MSigDB_Hallmark_2020__KRAS Signaling Dn,0.245188,1.224645,0.09302326,0.2620897,0.41,23/90,11.54%,SGK1;DTNB;P2RX6;BTG2;ATP6V1B1;ZBTB16;NRIP2;NR4A2;CNTFR;ARPP21;RGS11;SPTBN2;MFSD6;CPEB3;GAMT;KCNMB1;SOX10;DLK2;MACROH2A2;SLC16A7;MYH7;GTF3C5;COQ8A
prerank,MSigDB_Hallmark_2020__Pancreas Beta Cells,0.3420294,1.223953,0.1784387,0.2263002,0.412,10/24,11.43%,SST;ABCC8;INSM1;PCSK2;DCX;PCSK1;PAK3;FOXO1;CHGA;NKX2-2
prerank,MSigDB_Hallmark_2020__UV Response Up,0.2365028,1.219133,0.05617978,0.2041554,0.423,27/138,12.74%,NFKBIA;RHOB;NR4A1;TST;CXCL2;FOS;JUNB;SPR;BID;CLTB;CNP;CDKN1C;BTG2;OLFM1;MAPK8IP2;ATF3;GRINA;BMP2;PLCL1;NPTX2;FOSB;CREG1;PPIF;PDLIM3;DNAJB1;PRPF3;HLA-F
prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.2548139,1.162621,0.1627907,0.2733313,0.56,10/60,11.44%,CXCL3;CNTFR;JUN;MAP3K8;IL1B;SOCS3;IL17RA;EBI3;IL1R1;IL3RA
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.2965386,-1.161237,0.2048055,0.312219,0.998,40/91,36.22%,ADAR;GBP4;MX1;CMPK2;CMTR1;OASL;EIF2AK2;PNPT1;ISG15;HERC6;IFI27;TDRD7;TRIM14;IFI44L;SAMD9;RSAD2;IFIH1;OAS1;NUB1;LPAR6;MOV10;PLSCR1;DDX60;WARS1;IFITM3;EPSTI1;HELZ2;TENT5A;CASP8;PARP14;PROCR;IFI44;SAMD9L;TRIM5;TRIM25;PARP9;RIPK2;TRIM26;IFITM1;BST2
prerank,MSigDB_Hallmark_2020__Estrogen Response Early,0.2180011,1.152054,0.1617647,0.2676784,0.591,28/158,12.01%,BAG1;STC2;HR;SLC19A2;FOS;KLF4;GFRA1;DHRS2;PLAAT3;NBL1;TPBG;OLFM1;SLC7A2;HSPB8;SEMA3B;TPD52L1;MINDY1;EGR3;LRIG1;WWC1;TIPARP;MYC;SCARB1;SYBU;PPIF;PDLIM3;RARA;B4GALT1
prerank,MSigDB_Hallmark_2020__Androgen Response,-0.2907065,-1.131746,0.2673493,0.3594503,1.0,31/88,25.66%,TPD52;PTPN21;ABHD2;RPS6KA3;SMS;AKT1;XRCC5;TMEM50A;VAPA;GNAI3;SORD;ITGAV;UBE2I;APPBP2;HERC3;MAF;LMAN1;ACTN1;HOMER2;SLC38A2;NGLY1;ACSL3;PGM3;ABCC4;PIAS1;TNFAIP8;CAMKK2;GSR;ZBTB10;PTK2B;HSD17B14
prerank,MSigDB_Hallmark_2020__Glycolysis,-0.2588411,-1.083937,0.3177874,0.4576408,1.0,77/171,38.41%,SOX9;GYS1;COPB2;EFNA3;PAM;MDH1;GALE;GOT2;SDHC;AGL;NANP;SLC35A3;HS2ST1;PSMC4;CTH;RPE;G6PD;B4GALT2;B3GALT6;EGFR;HOMER1;MDH2;LDHA;EXT2;GPC1;GPC4;AK4;MPI;NDUFV3;DLD;GNPDA1;COG2;PDK3;PLOD1;UGP2;GALK2;STMN1;PRPS1;ENO1;ARPP19;PAXIP1;CENPA;SLC25A10;EXT1;COL5A1;NASP;CYB5A;KIF2A;AURKA;POLR3K;GLCE;AKR1A1;DCN;ANG;BPNT1;NT5E;PPIA;ZNF292;IDH1;PLOD2;PMM2;CHST12;PGM2;CLN6;FAM162A;CASP6;KDELR3;CHST2;MED24;GFPT1;SLC37A4;RARS1;PPP2CB;PGK1;GUSB;GMPPA;CDK1
