PMID,DOI,Title,Journal,Year,FirstAuthor,Keywords,Abstract
42539630,10.3389/fimmu.2026.1868787,Emerging immune networks and targeted strategies in T2 asthma.,Frontiers in immunology,2026,"Xi, Tianye","Humans; *Asthma/immunology/drug therapy/therapy; Animals; Immunity, Innate; *Th2 Cells/immunology; Interleukin-33/immunology/metabolism; Cytokines/metabolism; T2 asthma; biologics; ferroptosis; group 2 innate lymphoid cells; interleukin-33; precision medicine","Asthma is a highly heterogeneous chronic inflammatory disease of the airways, among which Th2-high asthma represents the most prevalent endotype. The pathogenesis of Type 2 (T2) asthma (driven by type 2 inflammation) involves a complex immune network orchestrated by the coordinated actions of multiple effector cell populations, including Th2 cells, group 2 innate lymphoid cells (ILC2s), and type 2 cytotoxic T (Tc2) cells. Epithelial-derived alarmins, particularly interleukin-33 (IL-33) and thymi"
42536249,10.1007/s00604-026-08317-8,Harnessing disulfidptosis-ferroptosis synergy to potentiate radiotherapy in triple-negative breast cancer.,Mikrochimica acta,2026,"Geng, Yan","*Disulfidptosis/drug effects; Humans; *Ferroptosis/drug effects; *Triple Negative Breast Neoplasms/radiotherapy/drug therapy/metabolism/pathology; *Antineoplastic Agents/pharmacology/chemistry/chemical synthesis; *Radiation-Sensitizing Agents/pharmacology/chemistry; Cell Line, Tumor; Female; Breast cancer; Disulfidptosis; Ferroptosis; Glucose transport; Radiotherapy","Triple-negative breast cancer (TNBC) displays pronounced molecular heterogeneity and metastatic propensity, which correlates with its poor clinical prognosis. Crucially, radiotherapy (RT) resistance serves as a pivotal contributor to treatment failure and disease advancement in TNBC. To address this challenge, we developed BWFP, which is achieved by loading WZB117 and FIN56 onto bismuth-based metal organic framework with radiosensitization effect and surface modifying pH-responsive DSPE-PEOz. Un"
42530249,10.31083/FBL50880,MGST1 Suppresses Ferroptosis in Nucleus Pulposus Cells and Attenuates Intervertebral Disc Degeneration by Regulating GPX4.,Frontiers in bioscience (Landmark edition),2026,"Huo, Zhenxin","*Ferroptosis/genetics; *Intervertebral Disc Degeneration/pathology/genetics/metabolism; Animals; *Nucleus Pulposus/metabolism/pathology/cytology; Rats; *Glutathione Transferase/genetics/metabolism; Rats, Sprague-Dawley; Male; Reactive Oxygen Species/metabolism; Lipid Peroxidation; Humans; Oxidative Stress; Apoptosis; Disease Models, Animal; Phospholipid Hydroperoxide Glutathione Peroxidase; ferroptosis; intervertebral disc degeneration; microsomal glutathione S-transferase 1; nucleus pulposus cells","BACKGROUND: Intervertebral disc degeneration (IDD) is a major pathological contributor to low back pain, and its progression is closely associated with oxidative stress and cell death. Ferroptosis is a form of programmed cell death characterized by iron-dependent lipid peroxidation, which has recently been confirmed to participate in IDD progression. Microsomal glutathione S-transferase 1 (MGST1) plays an important role in glutathione metabolism and cellular antioxidant defense, but its function"
42528515,10.3389/fphar.2026.1842913,Nystose treats intervertebral disc degeneration via the Nrf2 axis: a focus on oxidative stress and ferroptosis.,Frontiers in pharmacology,2026,"Mei, Haifeng",Nrf2; ferroptosis; intervertebral disc degeneration; nystose; oxidative stress,"BACKGROUND: Intervertebral disc degeneration (IDD) is the primary aetiology of chronic lower back pain and is driven by factors such as oxidative stress and nucleus pulposus (NP) cell dysfunction. Nystose (Nys), a key active oligosaccharide derived from Morinda officinalis How., has shown potential in treating degenerative diseases; however, its specific effect and underlying mechanism of action in IDD remain largely unexplored. PURPOSE: This study aimed to investigate the therapeutic potential "
42521170,10.1016/j.ijbiomac.2026.153806,ROS-responsive chitosan/hyaluronan polyelectrolyte nanogels for targeted chemo-ferroptosis therapy against breast cancer.,International journal of biological macromolecules,2026,"Gao, An",Ferroptosis; Nanogel; ROS responsive,"Ferroptosis, an iron-dependent form of regulated cell death driven by lipid peroxidation, has emerged as a promising strategy for combination with chemotherapy in cancer treatment. However, the rational design of delivery systems capable of simultaneously inducing ferroptosis, enhancing chemotherapy efficacy, and reducing systemic toxicity remains a substantial challenge. Herein, we developed a reactive oxygen species (ROS)-responsive, ionically crosslinked chitosan/hyaluronan polyelectrolyte na"
42517904,10.1007/s00418-026-02519-0,"Bioactive adipose-derived ECM hydrogel loaded with cytokine-releasing microspheres promotes spinal cord repair by suppressing inflammation, apoptosis, oxidative stress, and ferroptosis.",Histochemistry and cell biology,2026,"Alghamdi, Amani","Animals; Oxidative Stress/drug effects; Rats, Sprague-Dawley; *Microspheres; Male; Rats; Apoptosis/drug effects; *Spinal Cord Injuries/drug therapy/metabolism/pathology; *Cytokines/pharmacology/metabolism; *Inflammation/drug therapy/metabolism/pathology; *Hydrogels/chemistry/pharmacology; *Adipose Tissue/chemistry/metabolism; *Extracellular Matrix/chemistry/metabolism; Adipose-derived ECM; GDNF; Hydrogel; IL-10; Microspheres; Spinal cord injury; VEGF","Spinal cord injury (SCI) is a devastating neurological condition characterized by severe neuronal loss, inflammation, oxidative stress, and various forms of regulated cell death that collectively impair functional recovery. The present study aimed to develop a bioactive therapeutic platform based on an adipose-derived extracellular matrix (ECM) hydrogel incorporating cytokine-releasing PLGA microspheres to promote spinal cord repair. The hydrogel was fabricated from decellularized adipose tissue"
42511975,10.3390/biomedicines14071501,"An Integrative Transcriptomic, Network Pharmacology, and Molecular Docking Analysis of the Ferroptosis-Fibrosis Axis in Cardiomyopathy with Exploratory Relevance to Diabetic Cardiomyopathy.",Biomedicines,2026,"Onar, Lutfi Cagatay",cardiac fibrosis; cardiomyopathy; extracellular matrix remodeling; ferroptosis; machine learning; molecular docking; network pharmacology; transcriptomic analysis,"Background: Diabetic cardiomyopathy (DCM) is characterized by metabolic dysfunction, inflammation, extracellular matrix (ECM) remodeling, and myocardial fibrosis. Increasing evidence suggests that ferroptosis-associated oxidative injury may contribute to cardiac remodeling; however, the interaction between ferroptosis-related pathways and fibrosis-associated molecular networks remains incompletely understood. This study explored the ferroptosis-fibrosis axis using an integrative transcriptomic a"
42511738,10.3390/ijms27146391,Baicalein Attenuates High Glucose and Sodium Palmitate-Induced Ferroptosis in Cardiomyocytes via the Nrf2/SLC7A11/GPX4 Signaling Pathway.,International journal of molecular sciences,2026,"Wang, Huan","*Ferroptosis/drug effects; *Flavanones/pharmacology; *Myocytes, Cardiac/metabolism/drug effects; Animals; *Signal Transduction/drug effects; *Glucose; Rats; *NF-E2-Related Factor 2/metabolism; Molecular Docking Simulation; *Phospholipid Hydroperoxide Glutathione Peroxidase/metabolism; Cell Line; Diabetic Cardiomyopathies/metabolism/drug therapy; Molecular Dynamics Simulation; Cell Survival/drug effects; baicalein; cardiomyocyte; diabetic cardiomyopathy; ferroptosis; high glucose; network pharmacology; sodium palmitate","Diabetes mellitus (DM) is increasing rapidly worldwide, and diabetic cardiomyopathy (DCM) has become a leading cause of death in diabetic patients. Therefore, effective strategies for the prevention and treatment of DCM are urgently needed. Ferroptosis, a form of regulated cell death, has been implicated in the pathogenesis of DCM. This study integrated network pharmacology, data mining, molecular docking, molecular dynamics simulations, and in vitro experiments to investigate whether baicalein "
42511132,10.3390/ani16142255,Integrated Transcriptomic and Proteomic Analysis Reveals Runx2b-Associated Molecular Regulation of IB Development in Culter alburnus.,Animals : an open access journal from MDPI,2026,"Xu, Yi",Culter alburnus; gene editing; intermuscular bones; proteome; runx2b; transcriptome,"Intermuscular bones (IBs) are ossified structures within the myoseptal connective tissues of cyprinid fishes and negatively affect eating quality and processing suitability. Although runx2b has been shown to be essential for IB formation, the molecular changes associated with runx2b-mediated IB reduction or loss remain poorly understood. In this study, runx2b-edited Culter alburnus F1 individuals were generated and classified into wild-type, heterozygous mutant, and homozygous mutant groups. Ske"
42504696,10.1002/cbf.70264,Cell-Type-Specific Regulation of Ferroptosis in Atherosclerosis: Mechanisms and Therapeutic Potential of Natural Products.,Cell biochemistry and function,2026,"Wang, Ziwei",Humans; *Ferroptosis/drug effects; *Atherosclerosis/drug therapy/pathology/metabolism; *Biological Products/pharmacology/therapeutic use/chemistry; Animals; Macrophages/metabolism/pathology/drug effects; Endothelial Cells/metabolism/pathology/drug effects; atherosclerosis; cell-type-specific regulation; ferroptosis; natural products; plaque stability; vascular cells,"Ferroptosis is a regulated form of cell death in which disturbed iron metabolism, accumulation of peroxidized membrane lipids, and insufficient glutathione peroxidase 4 (GPX4) activity converge to injure vascular cells. In atherosclerosis, its effects are highly dependent on cellular context rather than being uniform across the vessel wall. In macrophages, ferroptotic injury strengthens inflammatory signaling and contributes to necrotic-core growth; in vascular smooth muscle cells, it impairs mi"
