Left_out_cancer,Score,K_cancers,Pooled_rho,CI_low,CI_high,Q,I2,CI_crosses_zero
PAAD,IFN_gamma,31,0.0864,0.0658,0.107,0.53,0.0,NO
PAAD,Checkpoint,31,0.0605,0.0398,0.0812,0.46,0.0,NO
PAAD,Myeloid,31,0.1114,0.0908,0.1318,0.63,0.0,NO
PCPG,M2_Macrophage,31,0.1317,0.1113,0.1521,0.63,0.0,NO
PCPG,T_cell_exhaustion,31,0.0482,0.0275,0.0689,0.31,0.0,NO
PCPG,Cytolytic_activity,31,-0.0047,-0.0255,0.016,0.18,0.0,YES
PCPG,Treg,31,0.0484,0.0276,0.069,0.34,0.0,NO
PCPG,IFN_gamma,31,0.0808,0.0601,0.1014,0.48,0.0,NO
PCPG,Checkpoint,31,0.0529,0.0321,0.0735,0.37,0.0,NO
PCPG,Myeloid,31,0.1035,0.083,0.124,0.53,0.0,NO
PRAD,M2_Macrophage,31,0.1324,0.1116,0.1531,0.69,0.0,NO
PRAD,T_cell_exhaustion,31,0.0533,0.0322,0.0744,0.4,0.0,NO
PRAD,Cytolytic_activity,31,-0.0022,-0.0234,0.0189,0.2,0.0,YES
PRAD,Treg,31,0.0502,0.0291,0.0712,0.38,0.0,NO
PRAD,IFN_gamma,31,0.0808,0.0598,0.1018,0.53,0.0,NO
PRAD,Checkpoint,31,0.0592,0.0381,0.0802,0.47,0.0,NO
PRAD,Myeloid,31,0.1075,0.0866,0.1283,0.64,0.0,NO
READ,M2_Macrophage,31,0.1372,0.1169,0.1574,0.69,0.0,NO
READ,T_cell_exhaustion,31,0.0539,0.0333,0.0745,0.4,0.0,NO
READ,Cytolytic_activity,31,-0.0023,-0.023,0.0183,0.2,0.0,YES
READ,Treg,31,0.0523,0.0317,0.0729,0.38,0.0,NO
READ,IFN_gamma,31,0.0855,0.0649,0.106,0.53,0.0,NO
READ,Checkpoint,31,0.0591,0.0385,0.0797,0.47,0.0,NO
READ,Myeloid,31,0.1104,0.09,0.1308,0.63,0.0,NO
SARC,M2_Macrophage,31,0.1411,0.1207,0.1615,0.66,0.0,NO
SARC,T_cell_exhaustion,31,0.0558,0.035,0.0766,0.39,0.0,NO
SARC,Cytolytic_activity,31,-0.0008,-0.0217,0.02,0.19,0.0,YES
SARC,Treg,31,0.0551,0.0343,0.0758,0.37,0.0,NO
SARC,IFN_gamma,31,0.0867,0.066,0.1074,0.53,0.0,NO
SARC,Checkpoint,31,0.0614,0.0406,0.0821,0.46,0.0,NO
SARC,Myeloid,31,0.115,0.0944,0.1356,0.6,0.0,NO
SKCM,M2_Macrophage,31,0.1351,0.1147,0.1553,0.67,0.0,NO
SKCM,T_cell_exhaustion,31,0.0536,0.033,0.0742,0.4,0.0,NO
SKCM,Cytolytic_activity,31,-0.0024,-0.0231,0.0183,0.2,0.0,YES
SKCM,Treg,31,0.0524,0.0318,0.073,0.38,0.0,NO
SKCM,IFN_gamma,31,0.0858,0.0653,0.1063,0.53,0.0,NO
SKCM,Checkpoint,31,0.0588,0.0382,0.0794,0.47,0.0,NO
SKCM,Myeloid,31,0.1085,0.0881,0.1289,0.62,0.0,NO
STAD,M2_Macrophage,31,0.1434,0.1228,0.164,0.66,0.0,NO
STAD,T_cell_exhaustion,31,0.0577,0.0367,0.0786,0.39,0.0,NO
STAD,Cytolytic_activity,31,-0.0013,-0.0224,0.0197,0.2,0.0,YES
STAD,Treg,31,0.056,0.035,0.077,0.37,0.0,NO
STAD,IFN_gamma,31,0.0909,0.07,0.1117,0.51,0.0,NO
STAD,Checkpoint,31,0.0614,0.0404,0.0823,0.46,0.0,NO
STAD,Myeloid,31,0.114,0.0932,0.1347,0.63,0.0,NO
TGCT,M2_Macrophage,31,0.1381,0.1177,0.1583,0.68,0.0,NO
TGCT,T_cell_exhaustion,31,0.0552,0.0345,0.0758,0.39,0.0,NO
TGCT,Cytolytic_activity,31,-0.0031,-0.0238,0.0176,0.2,0.0,YES
TGCT,Treg,31,0.0549,0.0342,0.0755,0.36,0.0,NO
TGCT,IFN_gamma,31,0.0865,0.0659,0.1071,0.52,0.0,NO
TGCT,Checkpoint,31,0.06,0.0393,0.0806,0.46,0.0,NO
TGCT,Myeloid,31,0.1121,0.0916,0.1326,0.62,0.0,NO
THCA,M2_Macrophage,31,0.1373,0.1165,0.158,0.69,0.0,NO
THCA,T_cell_exhaustion,31,0.0547,0.0336,0.0758,0.4,0.0,NO
THCA,Cytolytic_activity,31,-0.001,-0.0221,0.0202,0.2,0.0,YES
THCA,Treg,31,0.0523,0.0312,0.0734,0.38,0.0,NO
THCA,IFN_gamma,31,0.0867,0.0657,0.1076,0.53,0.0,NO
THCA,Checkpoint,31,0.0597,0.0386,0.0807,0.47,0.0,NO
THCA,Myeloid,31,0.1105,0.0895,0.1313,0.64,0.0,NO
THYM,M2_Macrophage,31,0.131,0.1106,0.1513,0.5,0.0,NO
THYM,T_cell_exhaustion,31,0.0509,0.0303,0.0716,0.34,0.0,NO
THYM,Cytolytic_activity,31,-0.0034,-0.024,0.0173,0.19,0.0,YES
THYM,Treg,31,0.0504,0.0298,0.071,0.35,0.0,NO
THYM,IFN_gamma,31,0.0797,0.0591,0.1002,0.33,0.0,NO
THYM,Checkpoint,31,0.0561,0.0355,0.0767,0.42,0.0,NO
THYM,Myeloid,31,0.1057,0.0852,0.1261,0.53,0.0,NO
UCEC,M2_Macrophage,31,0.1353,0.1148,0.1556,0.69,0.0,NO
UCEC,T_cell_exhaustion,31,0.0534,0.0327,0.0741,0.4,0.0,NO
UCEC,Cytolytic_activity,31,-0.0026,-0.0233,0.0182,0.2,0.0,YES
UCEC,Treg,31,0.0529,0.0322,0.0736,0.38,0.0,NO
UCEC,IFN_gamma,31,0.0832,0.0626,0.1038,0.52,0.0,NO
UCEC,Checkpoint,31,0.0597,0.039,0.0803,0.47,0.0,NO
UCEC,Myeloid,31,0.1093,0.0888,0.1298,0.64,0.0,NO
UCS,M2_Macrophage,31,0.1354,0.1151,0.1555,0.65,0.0,NO
UCS,T_cell_exhaustion,31,0.053,0.0324,0.0735,0.37,0.0,NO
UCS,Cytolytic_activity,31,-0.0032,-0.0238,0.0174,0.18,0.0,YES
UCS,Treg,31,0.0516,0.031,0.0722,0.36,0.0,NO
UCS,IFN_gamma,31,0.0837,0.0631,0.1041,0.44,0.0,NO
UCS,Checkpoint,31,0.058,0.0374,0.0785,0.44,0.0,NO
UCS,Myeloid,31,0.1085,0.0881,0.1288,0.58,0.0,NO
UVM,M2_Macrophage,31,0.1381,0.1178,0.1583,0.65,0.0,NO
UVM,T_cell_exhaustion,31,0.0545,0.0339,0.0751,0.39,0.0,NO
UVM,Cytolytic_activity,31,-0.0023,-0.023,0.0183,0.2,0.0,YES
UVM,Treg,31,0.0529,0.0323,0.0735,0.38,0.0,NO
UVM,IFN_gamma,31,0.0865,0.0659,0.1069,0.51,0.0,NO
UVM,Checkpoint,31,0.0595,0.0389,0.08,0.47,0.0,NO
UVM,Myeloid,31,0.1116,0.0912,0.132,0.59,0.0,NO
