num,line,doi,pmid,year_ms,status,cr_title,cr_year,cr_journal,pmid_doi,note
36,"Li W, Wang P, Yang Y, Hu J, Shafi S, Huang X, et al. Arachidonic acid promotes M",10.1016/j.intimp.2026.117206,42531784,2026,VERIFIED,Arachidonic acid promotes M2-like polarization of tumor-associated macrophages and glioma ,2026,International Immunopharmacology,10.1016/j.intimp.2026.117206,DOI + PMID 双向一致
37,"Berghoff AS, Kiesel B, Widhalm G, et al. Programmed death ligand 1 expression an",10.1093/neuonc/nou307,25355681,2015,VERIFIED,Programmed death ligand 1 expression and tumor-infiltrating lymphocytes in glioblastoma,2015,Neuro-Oncology,10.1093/neuonc/nou307,DOI + PMID 双向一致
38,"Zhong R, Li Q, Wang H, Kou Z, Guo S, Chen F, et al. Integrating MRI radiomics an",10.1186/s12935-026-04384-2,42324558,2026,VERIFIED,Integrating MRI radiomics and transcriptomics to predict IDH mutation status and prognosis,2026,Cancer Cell International,10.1186/s12935-026-04384-2,DOI + PMID 双向一致
39,"Feng X, Zhou J, He Z, Ying X, Kan T. Shared Genetic Architecture of Epilepsy and",10.2174/0115680096474313260623050646,42458946,2026,VERIFIED,Shared Genetic Architecture of Epilepsy and Glioma Revealed by Mendelian Randomization: Id,2026,Current Cancer Drug Targets,10.2174/0115680096474313260623050646,DOI + PMID 双向一致
40,"Palekkode N, Liu C, Chen J, Solomon D, Kumar S, Ko C, et al. Multi-omics profili",10.1016/j.compbiolchem.2026.109165,42308869,2026,VERIFIED,Multi-omics profiling identifies ACP2 as a lysosome-associated biomarker linked to immune ,2026,Computational Biology and Chemistry,10.1016/j.compbiolchem.2026.109165,DOI + PMID 双向一致
41,"Zhang X, Chen C, Fan Q, Chen S, Cao D, Hu Z, et al. Single-cell analysis reveals",10.3389/fimmu.2026.1820802,42548670,2026,VERIFIED,Single-cell analysis reveals KLF10-high macrophages induced by glioblastoma cells are asso,2026,Frontiers in Immunology,10.3389/fimmu.2026.1820802,DOI + PMID 双向一致
42,"Hu M, Wang Y, Li Y, Liu Z, Zhang G. Cuproptosis-related Gene SLC31A1 Correlates ",10.2174/0115748928461929260701074511,42460531,2026,VERIFIED,"Cuproptosis-related Gene SLC31A1 Correlates with M2 Macrophage
Infiltration and Serves as ",2026,Recent Patents on Anti-Cancer Drug Discovery,10.2174/0115748928461929260701074511,DOI + PMID 双向一致
43,"Chen F, Cai X, Liang R, Kang R, Liu J. Ferroptosis at the intersection of metabo",10.1016/j.smim.2026.102049,42497498,2026,VERIFIED,Ferroptosis at the intersection of metabolism and immunity in pancreatitis and pancreatic ,2026,Seminars in Immunology,10.1016/j.smim.2026.102049,DOI + PMID 双向一致
44,"Lin X, Wen Y, Lang J, Zhu Z, Guo Z, Wang L, et al. The emerging Nexus of STING s",10.1038/s41420-026-03214-8,42409781,2026,VERIFIED,The emerging Nexus of STING signaling and ferroptosis: from mechanisms to therapeutic oppo,2026,Cell Death Discovery,10.1038/s41420-026-03214-8,DOI + PMID 双向一致
45,"Song M, Wang X. Ferroptosis-mediated metabolic reprogramming as a driver of the ",10.3389/fimmu.2026.1848122,42433355,2026,VERIFIED,Ferroptosis-mediated metabolic reprogramming as a driver of the inflammatory microenvironm,2026,Frontiers in Immunology,10.3389/fimmu.2026.1848122,DOI + PMID 双向一致
