Analysis,Score,Split,K,Pooled_rho,CI_low,CI_high,Q,I2,Train_rho,Val_rho,Same_direction,Val_CI_crosses_zero
L2CO,score_Myeloid,leave:ESCA+UCS,30,0.1114,0.0908,0.1319,113.91,0.745,,,,
L2CO,score_M2_Macrophage,leave:ESCA+UVM,30,0.1414,0.1209,0.1618,128.67,0.775,,,,
L2CO,score_Myeloid,leave:ESCA+UVM,30,0.1146,0.094,0.1351,113.17,0.744,,,,
L2CO,score_M2_Macrophage,leave:GBM+HNSC,30,0.1334,0.1123,0.1543,135.02,0.785,,,,
L2CO,score_Myeloid,leave:GBM+HNSC,30,0.1119,0.0908,0.1329,119.48,0.757,,,,
L2CO,score_M2_Macrophage,leave:GBM+KICH,30,0.1376,0.1172,0.158,134.22,0.784,,,,
L2CO,score_Myeloid,leave:GBM+KICH,30,0.1111,0.0905,0.1316,116.65,0.751,,,,
L2CO,score_M2_Macrophage,leave:GBM+KIRC,30,0.1275,0.1064,0.1484,124.78,0.768,,,,
L2CO,score_Myeloid,leave:GBM+KIRC,30,0.1,0.0788,0.1211,107.53,0.73,,,,
L2CO,score_M2_Macrophage,leave:GBM+KIRP,30,0.1361,0.1154,0.1567,136.35,0.787,,,,
L2CO,score_Myeloid,leave:GBM+KIRP,30,0.1066,0.0857,0.1273,118.25,0.755,,,,
L2CO,score_M2_Macrophage,leave:GBM+LGG,30,0.1236,0.1026,0.1446,111.55,0.74,,,,
L2CO,score_Myeloid,leave:GBM+LGG,30,0.0975,0.0763,0.1186,99.01,0.707,,,,
L2CO,score_M2_Macrophage,leave:GBM+LIHC,30,0.1319,0.1111,0.1527,132.12,0.78,,,,
L2CO,score_Myeloid,leave:GBM+LIHC,30,0.107,0.086,0.1279,119.26,0.757,,,,
L2CO,score_M2_Macrophage,leave:GBM+LUAD,30,0.1435,0.1225,0.1643,128.52,0.774,,,,
L2CO,score_Myeloid,leave:GBM+LUAD,30,0.1116,0.0905,0.1326,119.7,0.758,,,,
L2CO,score_M2_Macrophage,leave:GBM+LUSC,30,0.1432,0.1223,0.164,128.84,0.775,,,,
L2CO,score_Myeloid,leave:GBM+LUSC,30,0.1192,0.0981,0.1402,105.38,0.725,,,,
L2CO,score_M2_Macrophage,leave:GBM+MESO,30,0.1371,0.1166,0.1575,135.78,0.786,,,,
L2CO,score_Myeloid,leave:GBM+MESO,30,0.11,0.0894,0.1305,120.06,0.758,,,,
L2CO,score_M2_Macrophage,leave:GBM+OV,30,0.1379,0.117,0.1587,135.9,0.787,,,,
L2CO,score_Myeloid,leave:GBM+OV,30,0.1101,0.0891,0.1311,120.34,0.759,,,,
L2CO,score_M2_Macrophage,leave:GBM+PAAD,30,0.139,0.1184,0.1595,133.1,0.782,,,,
L2CO,score_Myeloid,leave:GBM+PAAD,30,0.1109,0.0902,0.1315,119.41,0.757,,,,
L2CO,score_M2_Macrophage,leave:GBM+PCPG,30,0.1314,0.1108,0.1519,125.01,0.768,,,,
L2CO,score_Myeloid,leave:GBM+PCPG,30,0.1029,0.0822,0.1236,101.32,0.714,,,,
L2CO,score_M2_Macrophage,leave:GBM+PRAD,30,0.1321,0.1111,0.153,133.46,0.783,,,,
L2CO,score_Myeloid,leave:GBM+PRAD,30,0.1069,0.0858,0.128,119.51,0.757,,,,
L2CO,score_M2_Macrophage,leave:GBM+READ,30,0.137,0.1165,0.1574,135.98,0.787,,,,
L2CO,score_Myeloid,leave:GBM+READ,30,0.1099,0.0893,0.1305,120.15,0.759,,,,
L2CO,score_M2_Macrophage,leave:GBM+SARC,30,0.141,0.1203,0.1615,129.49,0.776,,,,
L2CO,score_Myeloid,leave:GBM+SARC,30,0.1146,0.0938,0.1353,111.9,0.741,,,,
L2CO,score_M2_Macrophage,leave:GBM+SKCM,30,0.1348,0.1143,0.1552,134.4,0.784,,,,
L2CO,score_Myeloid,leave:GBM+SKCM,30,0.108,0.0874,0.1286,118.95,0.756,,,,
L2CO,score_M2_Macrophage,leave:GBM+STAD,30,0.1433,0.1225,0.1641,126.92,0.772,,,,
L2CO,score_Myeloid,leave:GBM+STAD,30,0.1136,0.0926,0.1345,117.1,0.752,,,,
L2CO,score_M2_Macrophage,leave:GBM+TGCT,30,0.1378,0.1173,0.1583,135.08,0.785,,,,
L2CO,score_Myeloid,leave:GBM+TGCT,30,0.1117,0.091,0.1323,117.49,0.753,,,,
L2CO,score_M2_Macrophage,leave:GBM+THCA,30,0.137,0.1161,0.1579,136.29,0.787,,,,
L2CO,score_Myeloid,leave:GBM+THCA,30,0.1099,0.0888,0.131,120.4,0.759,,,,
L2CO,score_M2_Macrophage,leave:GBM+THYM,30,0.1307,0.1101,0.1511,113.81,0.745,,,,
L2CO,score_Myeloid,leave:GBM+THYM,30,0.1051,0.0844,0.1257,107.81,0.731,,,,
L2CO,score_M2_Macrophage,leave:GBM+UCEC,30,0.135,0.1144,0.1555,135.56,0.786,,,,
L2CO,score_Myeloid,leave:GBM+UCEC,30,0.1088,0.0881,0.1294,120.3,0.759,,,,
L2CO,score_M2_Macrophage,leave:GBM+UCS,30,0.1351,0.1147,0.1555,134.1,0.784,,,,
L2CO,score_Myeloid,leave:GBM+UCS,30,0.108,0.0874,0.1285,117.55,0.753,,,,
L2CO,score_M2_Macrophage,leave:GBM+UVM,30,0.1379,0.1174,0.1583,133.65,0.783,,,,
L2CO,score_Myeloid,leave:GBM+UVM,30,0.1112,0.0906,0.1317,117.0,0.752,,,,
L2CO,score_M2_Macrophage,leave:HNSC+KICH,30,0.135,0.1141,0.1558,132.98,0.782,,,,
L2CO,score_Myeloid,leave:HNSC+KICH,30,0.1142,0.0932,0.1351,115.7,0.749,,,,
L2CO,score_M2_Macrophage,leave:HNSC+KIRC,30,0.1242,0.1026,0.1457,123.0,0.764,,,,
L2CO,score_Myeloid,leave:HNSC+KIRC,30,0.1028,0.0811,0.1243,107.16,0.729,,,,
L2CO,score_M2_Macrophage,leave:HNSC+KIRP,30,0.1333,0.1121,0.1544,135.03,0.785,,,,
L2CO,score_Myeloid,leave:HNSC+KIRP,30,0.1096,0.0883,0.1308,117.55,0.753,,,,
L2CO,score_M2_Macrophage,leave:HNSC+LGG,30,0.1202,0.0986,0.1417,109.54,0.735,,,,
L2CO,score_Myeloid,leave:HNSC+LGG,30,0.1002,0.0786,0.1217,98.76,0.706,,,,
L2CO,score_M2_Macrophage,leave:HNSC+LIHC,30,0.1289,0.1076,0.1501,130.58,0.778,,,,
L2CO,score_Myeloid,leave:HNSC+LIHC,30,0.1101,0.0887,0.1314,118.53,0.755,,,,
L2CO,score_M2_Macrophage,leave:HNSC+LUAD,30,0.141,0.1195,0.1623,127.55,0.773,,,,
L2CO,score_Myeloid,leave:HNSC+LUAD,30,0.1149,0.0933,0.1364,118.72,0.756,,,,
L2CO,score_M2_Macrophage,leave:HNSC+LUSC,30,0.1407,0.1193,0.162,127.86,0.773,,,,
L2CO,score_Myeloid,leave:HNSC+LUSC,30,0.1228,0.1013,0.1442,103.94,0.721,,,,
L2CO,score_M2_Macrophage,leave:HNSC+MESO,30,0.1344,0.1135,0.1553,134.51,0.784,,,,
L2CO,score_Myeloid,leave:HNSC+MESO,30,0.1131,0.092,0.134,119.17,0.757,,,,
L2CO,score_M2_Macrophage,leave:HNSC+OV,30,0.1351,0.1138,0.1564,134.67,0.785,,,,
L2CO,score_Myeloid,leave:HNSC+OV,30,0.1134,0.0919,0.1347,119.44,0.757,,,,
L2CO,score_M2_Macrophage,leave:HNSC+PAAD,30,0.1364,0.1153,0.1573,131.92,0.78,,,,
L2CO,score_Myeloid,leave:HNSC+PAAD,30,0.114,0.0929,0.1351,118.47,0.755,,,,
L2CO,score_M2_Macrophage,leave:HNSC+PCPG,30,0.1284,0.1074,0.1494,123.45,0.765,,,,
L2CO,score_Myeloid,leave:HNSC+PCPG,30,0.1057,0.0846,0.1268,100.8,0.712,,,,
L2CO,score_M2_Macrophage,leave:HNSC+PRAD,30,0.129,0.1075,0.1504,131.93,0.78,,,,
L2CO,score_Myeloid,leave:HNSC+PRAD,30,0.11,0.0884,0.1315,118.79,0.756,,,,
L2CO,score_M2_Macrophage,leave:HNSC+READ,30,0.1343,0.1133,0.1551,134.71,0.785,,,,
L2CO,score_Myeloid,leave:HNSC+READ,30,0.113,0.092,0.134,119.27,0.757,,,,
L2CO,score_M2_Macrophage,leave:HNSC+SARC,30,0.1384,0.1173,0.1594,128.41,0.774,,,,
L2CO,score_Myeloid,leave:HNSC+SARC,30,0.118,0.0967,0.1391,110.74,0.738,,,,
L2CO,score_M2_Macrophage,leave:HNSC+SKCM,30,0.132,0.111,0.1529,133.02,0.782,,,,
L2CO,score_Myeloid,leave:HNSC+SKCM,30,0.111,0.09,0.132,118.17,0.755,,,,
L2CO,score_M2_Macrophage,leave:HNSC+STAD,30,0.1408,0.1195,0.162,125.94,0.77,,,,
L2CO,score_Myeloid,leave:HNSC+STAD,30,0.1169,0.0955,0.1383,116.0,0.75,,,,
L2CO,score_M2_Macrophage,leave:HNSC+TGCT,30,0.1352,0.1142,0.1561,133.85,0.783,,,,
L2CO,score_Myeloid,leave:HNSC+TGCT,30,0.1149,0.0937,0.1359,116.51,0.751,,,,
L2CO,score_M2_Macrophage,leave:HNSC+THCA,30,0.1342,0.1127,0.1556,135.01,0.785,,,,
L2CO,score_Myeloid,leave:HNSC+THCA,30,0.1132,0.0916,0.1347,119.51,0.757,,,,
L2CO,score_M2_Macrophage,leave:HNSC+THYM,30,0.1277,0.1067,0.1486,112.21,0.742,,,,
L2CO,score_Myeloid,leave:HNSC+THYM,30,0.108,0.0869,0.129,107.19,0.729,,,,
L2CO,score_M2_Macrophage,leave:HNSC+UCEC,30,0.1322,0.1111,0.1532,134.19,0.784,,,,
L2CO,score_Myeloid,leave:HNSC+UCEC,30,0.1119,0.0907,0.1329,119.48,0.757,,,,
L2CO,score_M2_Macrophage,leave:HNSC+UCS,30,0.1324,0.1114,0.1532,132.74,0.782,,,,
L2CO,score_Myeloid,leave:HNSC+UCS,30,0.111,0.09,0.1319,116.77,0.752,,,,
L2CO,score_M2_Macrophage,leave:HNSC+UVM,30,0.1353,0.1143,0.1561,132.43,0.781,,,,
L2CO,score_Myeloid,leave:HNSC+UVM,30,0.1143,0.0933,0.1352,116.05,0.75,,,,
L2CO,score_M2_Macrophage,leave:KICH+KIRC,30,0.1292,0.1082,0.15,122.9,0.764,,,,
L2CO,score_Myeloid,leave:KICH+KIRC,30,0.1024,0.0813,0.1234,104.24,0.722,,,,
L2CO,score_M2_Macrophage,leave:KICH+KIRP,30,0.1376,0.117,0.1581,134.23,0.784,,,,
L2CO,score_Myeloid,leave:KICH+KIRP,30,0.1089,0.0881,0.1295,114.69,0.747,,,,
L2CO,score_M2_Macrophage,leave:KICH+LGG,30,0.1254,0.1044,0.1462,109.79,0.736,,,,
L2CO,score_Myeloid,leave:KICH+LGG,30,0.1,0.0789,0.1209,95.83,0.697,,,,
L2CO,score_M2_Macrophage,leave:KICH+LIHC,30,0.1335,0.1128,0.1541,130.12,0.777,,,,
L2CO,score_Myeloid,leave:KICH+LIHC,30,0.1093,0.0885,0.1301,115.68,0.749,,,,
L2CO,score_M2_Macrophage,leave:KICH+LUAD,30,0.145,0.1241,0.1657,126.2,0.77,,,,
L2CO,score_Myeloid,leave:KICH+LUAD,30,0.1139,0.0929,0.1348,115.94,0.75,,,,
L2CO,score_M2_Macrophage,leave:KICH+LUSC,30,0.1447,0.1239,0.1654,126.53,0.771,,,,
L2CO,score_Myeloid,leave:KICH+LUSC,30,0.1214,0.1004,0.1422,101.32,0.714,,,,
L2CO,score_M2_Macrophage,leave:KICH+MESO,30,0.1386,0.1182,0.1589,133.63,0.783,,,,
L2CO,score_Myeloid,leave:KICH+MESO,30,0.1122,0.0917,0.1326,116.36,0.751,,,,
L2CO,score_M2_Macrophage,leave:KICH+OV,30,0.1394,0.1187,0.1601,133.73,0.783,,,,
L2CO,score_Myeloid,leave:KICH+OV,30,0.1124,0.0915,0.1332,116.63,0.751,,,,
L2CO,score_M2_Macrophage,leave:KICH+PAAD,30,0.1405,0.12,0.1608,130.9,0.778,,,,
L2CO,score_Myeloid,leave:KICH+PAAD,30,0.1131,0.0925,0.1336,115.68,0.749,,,,
L2CO,score_M2_Macrophage,leave:KICH+PCPG,30,0.133,0.1125,0.1534,123.02,0.764,,,,
L2CO,score_Myeloid,leave:KICH+PCPG,30,0.1052,0.0846,0.1258,97.91,0.704,,,,
L2CO,score_M2_Macrophage,leave:KICH+PRAD,30,0.1337,0.1128,0.1545,131.46,0.779,,,,
L2CO,score_Myeloid,leave:KICH+PRAD,30,0.1093,0.0883,0.1302,115.93,0.75,,,,
L2CO,score_M2_Macrophage,leave:KICH+READ,30,0.1385,0.1181,0.1588,133.84,0.783,,,,
L2CO,score_Myeloid,leave:KICH+READ,30,0.1121,0.0916,0.1326,116.46,0.751,,,,
L2CO,score_M2_Macrophage,leave:KICH+SARC,30,0.1425,0.1219,0.1629,127.24,0.772,,,,
L2CO,score_Myeloid,leave:KICH+SARC,30,0.1168,0.0961,0.1374,108.01,0.732,,,,
L2CO,score_M2_Macrophage,leave:KICH+SKCM,30,0.1363,0.1159,0.1566,132.32,0.781,,,,
L2CO,score_Myeloid,leave:KICH+SKCM,30,0.1102,0.0897,0.1307,115.33,0.749,,,,
L2CO,score_M2_Macrophage,leave:KICH+STAD,30,0.1448,0.1241,0.1654,124.61,0.767,,,,
L2CO,score_Myeloid,leave:KICH+STAD,30,0.1158,0.0949,0.1366,113.26,0.744,,,,
L2CO,score_M2_Macrophage,leave:KICH+TGCT,30,0.1393,0.1189,0.1597,132.91,0.782,,,,
L2CO,score_Myeloid,leave:KICH+TGCT,30,0.1139,0.0933,0.1344,113.73,0.745,,,,
L2CO,score_M2_Macrophage,leave:KICH+THCA,30,0.1386,0.1177,0.1594,134.14,0.784,,,,
L2CO,score_Myeloid,leave:KICH+THCA,30,0.1122,0.0912,0.1332,116.7,0.752,,,,
L2CO,score_M2_Macrophage,leave:KICH+THYM,30,0.1322,0.1118,0.1526,111.84,0.741,,,,
L2CO,score_Myeloid,leave:KICH+THYM,30,0.1074,0.0868,0.1278,104.31,0.722,,,,
L2CO,score_M2_Macrophage,leave:KICH+UCEC,30,0.1365,0.116,0.1569,133.47,0.783,,,,
L2CO,score_Myeloid,leave:KICH+UCEC,30,0.111,0.0904,0.1316,116.65,0.751,,,,
L2CO,score_M2_Macrophage,leave:KICH+UCS,30,0.1366,0.1163,0.1569,132.01,0.78,,,,
L2CO,score_Myeloid,leave:KICH+UCS,30,0.1102,0.0897,0.1306,113.93,0.745,,,,
L2CO,score_M2_Macrophage,leave:KICH+UVM,30,0.1394,0.119,0.1597,131.49,0.779,,,,
L2CO,score_Myeloid,leave:KICH+UVM,30,0.1134,0.0929,0.1338,113.26,0.744,,,,
L2CO,score_M2_Macrophage,leave:KIRC+KIRP,30,0.1273,0.1061,0.1485,124.78,0.768,,,,
L2CO,score_Myeloid,leave:KIRC+KIRP,30,0.0974,0.076,0.1187,105.1,0.724,,,,
L2CO,score_M2_Macrophage,leave:KIRC+LGG,30,0.114,0.0924,0.1355,97.94,0.704,,,,
L2CO,score_Myeloid,leave:KIRC+LGG,30,0.0877,0.066,0.1093,84.34,0.656,,,,
L2CO,score_M2_Macrophage,leave:KIRC+LIHC,30,0.1229,0.1015,0.1441,119.88,0.758,,,,
L2CO,score_Myeloid,leave:KIRC+LIHC,30,0.0978,0.0763,0.1192,106.17,0.727,,,,
L2CO,score_M2_Macrophage,leave:KIRC+LUAD,30,0.1348,0.1133,0.1562,118.07,0.754,,,,
L2CO,score_Myeloid,leave:KIRC+LUAD,30,0.1024,0.0808,0.124,107.34,0.73,,,,
L2CO,score_M2_Macrophage,leave:KIRC+LUSC,30,0.1346,0.1131,0.1559,118.35,0.755,,,,
L2CO,score_Myeloid,leave:KIRC+LUSC,30,0.1104,0.0888,0.1319,94.19,0.692,,,,
L2CO,score_M2_Macrophage,leave:KIRC+MESO,30,0.1286,0.1076,0.1495,124.38,0.767,,,,
L2CO,score_Myeloid,leave:KIRC+MESO,30,0.1012,0.0801,0.1223,107.48,0.73,,,,
L2CO,score_M2_Macrophage,leave:KIRC+OV,30,0.1291,0.1077,0.1504,124.6,0.767,,,,
L2CO,score_Myeloid,leave:KIRC+OV,30,0.101,0.0795,0.1225,107.75,0.731,,,,
L2CO,score_M2_Macrophage,leave:KIRC+PAAD,30,0.1305,0.1094,0.1515,121.99,0.762,,,,
L2CO,score_Myeloid,leave:KIRC+PAAD,30,0.1021,0.0808,0.1232,106.96,0.729,,,,
L2CO,score_M2_Macrophage,leave:KIRC+PCPG,30,0.1225,0.1014,0.1436,112.7,0.743,,,,
L2CO,score_Myeloid,leave:KIRC+PCPG,30,0.0937,0.0725,0.1149,87.58,0.669,,,,
L2CO,score_M2_Macrophage,leave:KIRC+PRAD,30,0.1229,0.1013,0.1443,121.23,0.761,,,,
L2CO,score_Myeloid,leave:KIRC+PRAD,30,0.0976,0.0759,0.1191,106.4,0.727,,,,
L2CO,score_M2_Macrophage,leave:KIRC+READ,30,0.1285,0.1075,0.1493,124.56,0.767,,,,
L2CO,score_Myeloid,leave:KIRC+READ,30,0.1012,0.08,0.1222,107.56,0.73,,,,
L2CO,score_M2_Macrophage,leave:KIRC+SARC,30,0.1325,0.1113,0.1536,118.68,0.756,,,,
L2CO,score_Myeloid,leave:KIRC+SARC,30,0.1059,0.0846,0.1271,100.02,0.71,,,,
L2CO,score_M2_Macrophage,leave:KIRC+SKCM,30,0.1262,0.1051,0.1471,122.65,0.764,,,,
L2CO,score_Myeloid,leave:KIRC+SKCM,30,0.0991,0.078,0.1202,106.05,0.727,,,,
L2CO,score_M2_Macrophage,leave:KIRC+STAD,30,0.1348,0.1134,0.156,116.46,0.751,,,,
L2CO,score_Myeloid,leave:KIRC+STAD,30,0.1046,0.0831,0.126,105.05,0.724,,,,
L2CO,score_M2_Macrophage,leave:KIRC+TGCT,30,0.1293,0.1083,0.1503,123.79,0.766,,,,
L2CO,score_Myeloid,leave:KIRC+TGCT,30,0.1029,0.0817,0.124,105.17,0.724,,,,
L2CO,score_M2_Macrophage,leave:KIRC+THCA,30,0.1281,0.1066,0.1495,124.85,0.768,,,,
L2CO,score_Myeloid,leave:KIRC+THCA,30,0.1007,0.0791,0.1223,107.77,0.731,,,,
L2CO,score_M2_Macrophage,leave:KIRC+THYM,30,0.1218,0.1008,0.1428,101.39,0.714,,,,
L2CO,score_Myeloid,leave:KIRC+THYM,30,0.0961,0.0749,0.1172,94.44,0.693,,,,
L2CO,score_M2_Macrophage,leave:KIRC+UCEC,30,0.1263,0.1052,0.1473,123.83,0.766,,,,
L2CO,score_Myeloid,leave:KIRC+UCEC,30,0.0999,0.0786,0.121,107.52,0.73,,,,
L2CO,score_M2_Macrophage,leave:KIRC+UCS,30,0.1265,0.1056,0.1474,122.4,0.763,,,,
L2CO,score_Myeloid,leave:KIRC+UCS,30,0.0992,0.0781,0.1201,104.65,0.723,,,,
L2CO,score_M2_Macrophage,leave:KIRC+UVM,30,0.1295,0.1085,0.1503,122.39,0.763,,,,
L2CO,score_Myeloid,leave:KIRC+UVM,30,0.1025,0.0814,0.1235,104.6,0.723,,,,
L2CO,score_M2_Macrophage,leave:KIRP+LGG,30,0.1234,0.1022,0.1446,111.54,0.74,,,,
L2CO,score_Myeloid,leave:KIRP+LGG,30,0.0949,0.0736,0.1162,96.47,0.699,,,,
L2CO,score_M2_Macrophage,leave:KIRP+LIHC,30,0.1318,0.1108,0.1528,132.13,0.781,,,,
L2CO,score_Myeloid,leave:KIRP+LIHC,30,0.1046,0.0835,0.1257,117.13,0.752,,,,
L2CO,score_M2_Macrophage,leave:KIRP+LUAD,30,0.1436,0.1225,0.1646,128.52,0.774,,,,
L2CO,score_Myeloid,leave:KIRP+LUAD,30,0.1092,0.0879,0.1305,117.76,0.754,,,,
L2CO,score_M2_Macrophage,leave:KIRP+LUSC,30,0.1433,0.1222,0.1643,128.85,0.775,,,,
L2CO,score_Myeloid,leave:KIRP+LUSC,30,0.117,0.0957,0.1381,103.74,0.72,,,,
L2CO,score_M2_Macrophage,leave:KIRP+MESO,30,0.1371,0.1165,0.1577,135.79,0.786,,,,
L2CO,score_Myeloid,leave:KIRP+MESO,30,0.1077,0.087,0.1284,118.06,0.754,,,,
L2CO,score_M2_Macrophage,leave:KIRP+OV,30,0.1379,0.1169,0.1589,135.92,0.787,,,,
L2CO,score_Myeloid,leave:KIRP+OV,30,0.1078,0.0866,0.1289,118.33,0.755,,,,
L2CO,score_M2_Macrophage,leave:KIRP+PAAD,30,0.139,0.1183,0.1597,133.11,0.782,,,,
L2CO,score_Myeloid,leave:KIRP+PAAD,30,0.1086,0.0877,0.1294,117.44,0.753,,,,
L2CO,score_M2_Macrophage,leave:KIRP+PCPG,30,0.1313,0.1105,0.152,125.02,0.768,,,,
L2CO,score_Myeloid,leave:KIRP+PCPG,30,0.1005,0.0796,0.1214,99.02,0.707,,,,
L2CO,score_M2_Macrophage,leave:KIRP+PRAD,30,0.132,0.1108,0.1531,133.47,0.783,,,,
L2CO,score_Myeloid,leave:KIRP+PRAD,30,0.1045,0.0832,0.1257,117.38,0.753,,,,
L2CO,score_M2_Macrophage,leave:KIRP+READ,30,0.137,0.1163,0.1575,135.99,0.787,,,,
L2CO,score_Myeloid,leave:KIRP+READ,30,0.1077,0.0869,0.1284,118.14,0.755,,,,
L2CO,score_M2_Macrophage,leave:KIRP+SARC,30,0.1411,0.1202,0.1618,129.5,0.776,,,,
L2CO,score_Myeloid,leave:KIRP+SARC,30,0.1124,0.0914,0.1333,110.07,0.737,,,,
L2CO,score_M2_Macrophage,leave:KIRP+SKCM,30,0.1348,0.1141,0.1553,134.42,0.784,,,,
L2CO,score_Myeloid,leave:KIRP+SKCM,30,0.1057,0.0849,0.1264,116.86,0.752,,,,
L2CO,score_M2_Macrophage,leave:KIRP+STAD,30,0.1434,0.1224,0.1643,126.93,0.772,,,,
L2CO,score_Myeloid,leave:KIRP+STAD,30,0.1113,0.0901,0.1324,115.24,0.748,,,,
L2CO,score_M2_Macrophage,leave:KIRP+TGCT,30,0.1379,0.1172,0.1585,135.09,0.785,,,,
L2CO,score_Myeloid,leave:KIRP+TGCT,30,0.1094,0.0886,0.1302,115.55,0.749,,,,
L2CO,score_M2_Macrophage,leave:KIRP+THCA,30,0.1371,0.1159,0.1581,136.3,0.787,,,,
L2CO,score_Myeloid,leave:KIRP+THCA,30,0.1076,0.0863,0.1288,118.39,0.755,,,,
L2CO,score_M2_Macrophage,leave:KIRP+THYM,30,0.1306,0.1099,0.1512,113.82,0.745,,,,
L2CO,score_Myeloid,leave:KIRP+THYM,30,0.1028,0.0819,0.1235,105.6,0.725,,,,
L2CO,score_M2_Macrophage,leave:KIRP+UCEC,30,0.135,0.1142,0.1557,135.57,0.786,,,,
L2CO,score_Myeloid,leave:KIRP+UCEC,30,0.1065,0.0856,0.1273,118.24,0.755,,,,
L2CO,score_M2_Macrophage,leave:KIRP+UCS,30,0.1351,0.1145,0.1556,134.12,0.784,,,,
L2CO,score_Myeloid,leave:KIRP+UCS,30,0.1057,0.0849,0.1264,115.46,0.749,,,,
L2CO,score_M2_Macrophage,leave:KIRP+UVM,30,0.1379,0.1173,0.1585,133.67,0.783,,,,
L2CO,score_Myeloid,leave:KIRP+UVM,30,0.1089,0.0882,0.1296,115.04,0.748,,,,
L2CO,score_M2_Macrophage,leave:LGG+LIHC,30,0.1189,0.0976,0.1402,106.33,0.727,,,,
L2CO,score_Myeloid,leave:LGG+LIHC,30,0.0953,0.0738,0.1167,97.56,0.703,,,,
L2CO,score_M2_Macrophage,leave:LGG+LUAD,30,0.1308,0.1093,0.1522,105.32,0.725,,,,
L2CO,score_Myeloid,leave:LGG+LUAD,30,0.0999,0.0782,0.1214,98.92,0.707,,,,
L2CO,score_M2_Macrophage,leave:LGG+LUSC,30,0.1306,0.1091,0.1519,105.59,0.725,,,,
L2CO,score_Myeloid,leave:LGG+LUSC,30,0.1078,0.0862,0.1293,86.11,0.663,,,,
L2CO,score_M2_Macrophage,leave:LGG+MESO,30,0.1248,0.1038,0.1457,111.23,0.739,,,,
L2CO,score_Myeloid,leave:LGG+MESO,30,0.0988,0.0777,0.1198,99.01,0.707,,,,
L2CO,score_M2_Macrophage,leave:LGG+OV,30,0.1251,0.1037,0.1464,111.48,0.74,,,,
L2CO,score_Myeloid,leave:LGG+OV,30,0.0985,0.077,0.1199,99.27,0.708,,,,
L2CO,score_M2_Macrophage,leave:LGG+PAAD,30,0.1266,0.1055,0.1476,108.96,0.734,,,,
L2CO,score_Myeloid,leave:LGG+PAAD,30,0.0996,0.0784,0.1207,98.53,0.706,,,,
L2CO,score_M2_Macrophage,leave:LGG+PCPG,30,0.1187,0.0976,0.1397,99.14,0.707,,,,
L2CO,score_Myeloid,leave:LGG+PCPG,30,0.0913,0.07,0.1124,78.8,0.632,,,,
L2CO,score_M2_Macrophage,leave:LGG+PRAD,30,0.1189,0.0974,0.1403,107.69,0.731,,,,
L2CO,score_Myeloid,leave:LGG+PRAD,30,0.095,0.0734,0.1166,97.78,0.703,,,,
L2CO,score_M2_Macrophage,leave:LGG+READ,30,0.1247,0.1037,0.1455,111.4,0.74,,,,
L2CO,score_Myeloid,leave:LGG+READ,30,0.0987,0.0776,0.1197,99.09,0.707,,,,
L2CO,score_M2_Macrophage,leave:LGG+SARC,30,0.1286,0.1074,0.1497,105.79,0.726,,,,
L2CO,score_Myeloid,leave:LGG+SARC,30,0.1034,0.0821,0.1246,91.75,0.684,,,,
L2CO,score_M2_Macrophage,leave:LGG+SKCM,30,0.1224,0.1013,0.1433,109.33,0.735,,,,
L2CO,score_Myeloid,leave:LGG+SKCM,30,0.0967,0.0756,0.1177,97.49,0.703,,,,
L2CO,score_M2_Macrophage,leave:LGG+STAD,30,0.1308,0.1095,0.1521,103.71,0.72,,,,
L2CO,score_Myeloid,leave:LGG+STAD,30,0.1021,0.0806,0.1235,96.73,0.7,,,,
L2CO,score_M2_Macrophage,leave:LGG+TGCT,30,0.1255,0.1044,0.1464,110.68,0.738,,,,
L2CO,score_Myeloid,leave:LGG+TGCT,30,0.1005,0.0793,0.1215,96.77,0.7,,,,
L2CO,score_M2_Macrophage,leave:LGG+THCA,30,0.1241,0.1026,0.1455,111.65,0.74,,,,
L2CO,score_Myeloid,leave:LGG+THCA,30,0.0981,0.0765,0.1197,99.28,0.708,,,,
L2CO,score_M2_Macrophage,leave:LGG+THYM,30,0.118,0.097,0.139,87.78,0.67,,,,
L2CO,score_Myeloid,leave:LGG+THYM,30,0.0936,0.0725,0.1147,85.76,0.662,,,,
L2CO,score_M2_Macrophage,leave:LGG+UCEC,30,0.1225,0.1014,0.1435,110.52,0.738,,,,
L2CO,score_Myeloid,leave:LGG+UCEC,30,0.0974,0.0762,0.1185,98.99,0.707,,,,
L2CO,score_M2_Macrophage,leave:LGG+UCS,30,0.1228,0.1018,0.1436,109.11,0.734,,,,
L2CO,score_Myeloid,leave:LGG+UCS,30,0.0967,0.0757,0.1177,96.09,0.698,,,,
L2CO,score_M2_Macrophage,leave:LGG+UVM,30,0.1257,0.1047,0.1465,109.29,0.735,,,,
L2CO,score_Myeloid,leave:LGG+UVM,30,0.1,0.0789,0.121,96.19,0.699,,,,
L2CO,score_M2_Macrophage,leave:LIHC+LUAD,30,0.1393,0.118,0.1604,124.84,0.768,,,,
L2CO,score_Myeloid,leave:LIHC+LUAD,30,0.1097,0.0883,0.1311,118.74,0.756,,,,
L2CO,score_M2_Macrophage,leave:LIHC+LUSC,30,0.1391,0.1178,0.1602,125.15,0.768,,,,
