Cancer,Transcript,Median_prop,Mean_prop,N
LUAD,ENST00000394857.7,0.04210230643288918,0.07221888619900854,513
LUAD,ENST00000416245.5,0.005719142047911466,0.009607714112395688,513
LUAD,ENST00000479793.5,0.0003777864640321413,0.02427268344234579,513
TGCT,ENST00000336517.8,0.1672916503415783,0.26805478293276347,148
TGCT,ENST00000466960.5,0.6670100247390522,0.5702063084732103,148
TGCT,ENST00000394860.3,0.021704865934327654,0.03390085460031262,148
TGCT,ENST00000467555.1,0.00020546643183330838,0.05226486971780849,148
TGCT,ENST00000394857.7,0.021317241842265404,0.04533797045101371,148
TGCT,ENST00000416245.5,0.0036264557489466276,0.00795894407811018,148
TGCT,ENST00000479793.5,0.00032873893222052427,0.022276269746781287,148
SARC,ENST00000336517.8,0.1821070571817886,0.2756459266595888,258
SARC,ENST00000466960.5,0.683905907033524,0.5775543190720228,258
SARC,ENST00000394860.3,0.020611572149902287,0.03571596816740664,258
SARC,ENST00000467555.1,0.00014833591488151574,0.03691771675205681,258
SARC,ENST00000394857.7,0.000496053072721345,0.03181575412795132,258
SARC,ENST00000416245.5,0.0005840991661669956,0.0030716004400300778,258
SARC,ENST00000479793.5,0.00066397887068644,0.03927871478094348,258
KIRP,ENST00000336517.8,0.3316412215078336,0.3919113711171832,288
KIRP,ENST00000466960.5,0.5109448419543934,0.48040944989058926,288
KIRP,ENST00000394860.3,0.028012424930477165,0.036778445055408865,288
KIRP,ENST00000467555.1,0.00011740967654827204,0.01996816348278689,288
KIRP,ENST00000394857.7,0.012514327573572206,0.035518697004823886,288
KIRP,ENST00000416245.5,0.0030497342230759892,0.006686696218538835,288
KIRP,ENST00000479793.5,0.004206525660668462,0.028727177230669046,288
PRAD,ENST00000336517.8,0.49460682048044075,0.5213871062827198,495
PRAD,ENST00000466960.5,0.3919807777173296,0.3788903225125236,495
PRAD,ENST00000394860.3,0.023420008654194635,0.031268107438356375,495
PRAD,ENST00000467555.1,8.356188891690845e-05,0.013746043217930182,495
PRAD,ENST00000394857.7,0.01409093679750019,0.02905044745549783,495
PRAD,ENST00000416245.5,0.0036613016505742412,0.005490081323093615,495
PRAD,ENST00000479793.5,0.008469513508093303,0.02016789176987859,495
STAD,ENST00000336517.8,0.7619340545266733,0.6708813738732674,414
STAD,ENST00000466960.5,0.0005643252888084398,0.07844701154124717,414
STAD,ENST00000394860.3,0.0009558851727879705,0.02277868841884852,414
STAD,ENST00000467555.1,0.00039108586390903155,0.025491052543969623,414
STAD,ENST00000394857.7,0.12096026376188566,0.16515852770812972,414
STAD,ENST00000416245.5,0.008120960028566321,0.016750810477339576,414
STAD,ENST00000479793.5,0.0003575218700280091,0.020492535437197958,414
ESCA,ENST00000336517.8,0.6047586587122774,0.5789549082273082,181
ESCA,ENST00000466960.5,0.0002884354318756284,0.08580734919721933,181
ESCA,ENST00000394860.3,0.00849603135470202,0.01949098467634798,181
ESCA,ENST00000467555.1,0.010136152950652537,0.08349526876542225,181
ESCA,ENST00000394857.7,0.18201550680660197,0.19809769740826091,181
ESCA,ENST00000416245.5,0.014360642819491884,0.01919467715815372,181
ESCA,ENST00000479793.5,0.0002394018371248585,0.0149591145672876,181
BRCA,ENST00000336517.8,0.5113778191142788,0.5141951027875645,1092
BRCA,ENST00000466960.5,0.2953274455129884,0.32309802526164316,1092
BRCA,ENST00000394860.3,0.022414190384122297,0.030644900955447005,1092
BRCA,ENST00000467555.1,0.00010212348767199113,0.012333190259002914,1092
BRCA,ENST00000394857.7,0.05685580110378868,0.08749449559570764,1092
BRCA,ENST00000416245.5,0.0061492070616900735,0.009435556269015993,1092
BRCA,ENST00000479793.5,0.006388390882510054,0.02279872887161879,1092
HNSC,ENST00000336517.8,0.40189478265255185,0.42416173943530133,518
HNSC,ENST00000466960.5,0.15822038723414755,0.22342071102561814,518
HNSC,ENST00000394860.3,0.013665976810433456,0.021991829057890648,518
HNSC,ENST00000467555.1,0.2104188280935514,0.2583478771245036,518
HNSC,ENST00000394857.7,0.031085694864511758,0.050417591025175276,518
HNSC,ENST00000416245.5,0.0018068396162931961,0.003212795745237367,518
HNSC,ENST00000479793.5,0.007839629281737974,0.0184474565862737,518
KIRC,ENST00000336517.8,0.3476591794056829,0.40621173035407854,530
KIRC,ENST00000466960.5,0.48734577563719683,0.4574320080631391,530
KIRC,ENST00000394860.3,0.026322391239209063,0.03545025367747518,530
KIRC,ENST00000467555.1,0.0001479931793180808,0.012702432446128478,530
KIRC,ENST00000394857.7,0.022512288618339742,0.04980604745523403,530
KIRC,ENST00000416245.5,0.0038115471183104562,0.00767895650835971,530
