,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5
TCGA-ZG-A9MC-01,0.7719892668901178,0.1224999185154978,9.134926805262985e-05,9.134926805262985e-05,0.05672988283772828,0.01105354309693774,0.03754469012361305
TCGA-B9-A5W8-01,0.3319494408001815,0.6379146988429648,7.629433303702768e-05,7.629433303702768e-05,0.026778805637365337,0.0031281717203773835,7.629433303702768e-05
TCGA-DU-A7TI-01,0.808218817657143,0.0015220356298484429,0.0015220356298484429,0.0015220356298484429,0.0015220356298484429,0.0015220356298484429,0.18417100419361487
GTEX-TMZS-0001-SM-3P61Q,0.9961216563571561,0.0006463906071406514,0.0006463906071406514,0.0006463906071406514,0.0006463906071406514,0.0006463906071406514,0.0006463906071406514
GTEX-T5JC-2426-SM-3NMDB,0.49792211397300795,0.0008285015377630909,0.25766919872440586,0.042252836218073846,0.19967034647122303,0.0008285015377630909,0.0008285015377630909
TCGA-BR-8372-01,0.9413564394678311,0.0006108530585195944,0.03726365505500631,0.0006108530585195944,0.0006108530585195944,0.018936493243084225,0.0006108530585195944
GTEX-WOFM-0526-SM-4OOS2,0.03890553790451391,0.9596094942253336,0.00029699357403045344,0.00029699357403045344,0.00029699357403045344,0.00029699357403045344,0.00029699357403045344
TCGA-HC-7742-01,0.2969784127636656,0.6993710442170691,8.112071933756996e-05,8.112071933756996e-05,8.112071933756996e-05,8.112071933756996e-05,0.003326060141915138
TCGA-DD-A3A6-11,0.0027247857943923817,0.43868538067918056,0.1662191529123073,0.2752011748335317,0.1117199341918035,0.0027247857943923817,0.0027247857943923817
TCGA-64-1679-01,0.9535510287689516,0.011824984074061243,0.0001065325596629824,0.0001065325596629824,0.024609890532398603,0.009694498945599626,0.0001065325596629824
GTEX-XQ8I-0526-SM-4BOPS,0.6613405809855964,0.304489700788024,0.000759304056261676,0.000759304056261676,0.000759304056261676,0.031132502001332763,0.000759304056261676
TCGA-CV-5976-01,0.3972479269385044,0.26004110518782236,5.764726131011426e-05,0.2779142269719511,0.040411552745264714,5.764726131011426e-05,0.02426989363383722
GTEX-N7MS-2526-SM-26GMA,0.0009551249463773965,0.0009551249463773965,0.26838521352473416,0.2874886878061211,0.4403055988836351,0.0009551249463773965,0.0009551249463773965
TCGA-25-1315-01,0.9760845932595371,8.079234274895653e-05,0.01866369039848325,8.079234274895653e-05,8.079234274895653e-05,0.004928546970983833,8.079234274895653e-05
GTEX-13FTZ-2226-SM-5LZXI,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
GTEX-14AS3-1326-SM-5RQJE,0.28838424715727545,0.6922976064787066,0.00035124474589806566,0.00035124474589806566,0.017913167380425223,0.00035124474589806566,0.00035124474589806566
